,Iteration,Reward,Gamma
0,1,23.17234211944304,0.9
1,2,23.17234211944304,0.9
2,3,23.17234211944304,0.9
3,4,23.17234211944304,0.9
4,5,23.17234211944304,0.9
5,6,23.17234211944304,0.9
6,7,23.17234211944304,0.9
7,8,23.17234211944304,0.9
8,9,23.17234211944304,0.9
9,10,23.17234211944304,0.9
0,1,33.62570469132949,0.95
1,2,33.62570469132949,0.95
2,3,33.62570469132949,0.95
3,4,33.62570469132949,0.95
4,5,33.62570469132949,0.95
5,6,33.62570469132949,0.95
6,7,33.62570469132949,0.95
7,8,33.62570469132949,0.95
8,9,33.62570469132949,0.95
9,10,33.62570469132949,0.95
10,11,33.62570469132949,0.95
11,12,33.62570469132949,0.95
12,13,33.62570469132949,0.95
0,1,79.49232984724466,0.99
1,2,79.49232984724466,0.99
2,3,79.49232984724466,0.99
3,4,79.49232984724466,0.99
4,5,79.49232984724466,0.99
5,6,79.49232984724466,0.99
6,7,79.49232984724466,0.99
7,8,79.49232984724466,0.99
8,9,79.49232984724466,0.99
9,10,79.49232984724466,0.99
10,11,79.49232984724466,0.99
11,12,79.49232984724466,0.99
12,13,79.49232984724466,0.99
13,14,79.49232984724466,0.99
14,15,79.49232984724466,0.99
15,16,79.49232984724466,0.99
16,17,79.49232984724466,0.99
17,18,79.49232984724466,0.99
