,Iteration,Reward,Gamma
0,1,4.0,0.9
1,2,7.24,0.9
2,3,9.9373,0.9
3,4,12.128674000000002,0.9
4,5,13.957421530000001,0.9
5,6,15.448326111400002,0.9
6,7,16.695997055833,0.9
7,8,17.71722627268954,0.9
8,9,18.574565228232032,0.9
9,10,19.279461561421606,0.9
10,11,19.873342709762035,0.9
11,12,20.364068147615818,0.9
12,13,20.779132227325263,0.9
13,14,21.12397397955609,0.9
14,15,21.416886635462923,0.9
15,16,21.66166751099009,0.9
16,17,21.870524686230226,0.9
17,18,22.046134882193297,0.9
18,19,22.19667459204508,0.9
19,20,22.32405010707551,0.9
20,21,22.433761109622417,0.9
21,22,22.52717989405572,0.9
22,23,22.6080242209464,0.9
23,24,22.677292929720778,0.9
24,25,22.737513872470668,0.9
25,26,22.789422154186763,0.9
26,27,22.834748088425272,0.9
27,28,22.874038588389475,0.9
28,29,22.90848706254061,0.9
29,30,22.938504675394643,0.9
30,31,22.96492152352997,0.9
31,32,22.988049763143795,0.9
32,33,23.008472172643646,0.9
33,34,23.026427894548714,0.9
34,35,23.04233019292656,0.9
35,36,23.05636378202297,0.9
36,37,23.06882483594772,0.9
37,38,23.07985707411701,0.9
38,39,23.089675091923866,0.9
0,1,4.0,0.95
1,2,7.42,0.95
2,3,10.425324999999999,0.95
3,4,13.00259425,0.95
4,5,15.272867520624999,0.95
5,6,17.22655605848125,0.95
6,7,18.95234084629614,0.95
7,8,20.44338636633094,0.95
8,9,21.764686029659337,0.95
9,10,22.911400027817994,0.95
10,11,23.93118943873409,0.95
11,12,24.820658047542906,0.95
12,13,25.614782009547483,0.95
13,14,26.3112065867971,0.95
14,15,26.93562180424189,0.95
15,16,27.48642179154017,0.95
16,17,27.982496326051407,0.95
17,18,28.422775716935856,0.95
18,19,28.82116789218817,0.95
19,20,29.176984958137655,0.95
20,21,29.50048333106825,0.95
21,22,29.7912450480699,0.95
22,23,30.056848465189123,0.95
23,24,30.29706466745551,0.95
24,25,30.517506417645574,0.95
25,26,30.718075528488324,0.95
26,27,30.902940767422937,0.95
27,28,31.072092769753578,0.95
28,29,31.228638300718732,0.95
29,30,31.37262684191182,0.95
30,31,31.50638302744049,0.95
31,32,31.629993865083286,0.95
32,33,31.745207014210642,0.95
33,34,31.852131958719674,0.95
34,35,31.95208986638564,0.95
35,36,32.04520217850424,0.95
36,37,32.1324740372867,0.95
37,38,32.21403158811759,0.95
38,39,32.29064511540521,0.95
39,40,32.36244055988648,0.95
40,41,32.43001305776277,0.95
41,42,32.493485111951,0.95
42,43,32.553320697128015,0.95
43,44,32.60963683546212,0.95
44,45,32.66279880004124,0.95
45,46,32.71291692819577,0.95
46,47,32.760281795324616,0.95
47,48,32.80499643483256,0.95
48,49,32.84729451995551,0.95
49,50,32.887271563275384,0.95
50,51,32.925117568727295,0.95
51,52,32.96092058220637,0.95
52,53,32.9948368139587,0.95
53,54,33.02694707472324,0.95
54,55,33.0573811827342,0.95
55,56,33.0862130560691,0.95
56,57,33.11355169633933,0.95
57,58,33.13946453568242,0.95
0,1,4.0,0.99
1,2,7.564,0.99
2,3,10.827733,0.99
3,4,13.744451794000001,0.99
4,5,16.421921052673,0.99
5,6,18.823037790063513,0.99
6,7,21.033362976054185,0.99
7,8,23.023449813962134,0.99
8,9,24.861232005440105,0.99
9,10,26.52334068667883,0.99
10,11,28.063715437382346,0.99
11,12,29.463812382236114,0.99
12,13,30.766461268153822,0.99
13,14,31.956948522901182,0.99
14,15,33.06928384625163,0.99
15,16,34.091794310455434,0.99
16,17,35.051487388690745,0.99
17,18,35.93910390592788,0.99
18,19,36.77609224510091,0.99
19,20,37.555109309566845,0.99
20,21,38.29319007364163,0.99
21,22,38.984512427936835,0.99
22,23,39.642607476059794,0.99
23,24,40.26286044353795,0.99
24,25,40.85602063110951,0.99
25,26,41.41843159952995,0.99
26,27,41.958634085521915,0.99
27,28,42.47373231183375,0.99
28,29,42.97051353746386,0.99
29,30,43.44668572095637,0.99
30,31,43.90764393074577,0.99
31,32,44.351575283217876,0.99
32,33,44.782769477999906,0.99
33,34,45.19979389196566,0.99
34,35,45.60606056096792,0.99
35,36,46.00043861230143,0.99
36,37,46.38564319138007,0.99
37,38,46.76078285087898,0.99
38,39,47.128019360873445,0.99
39,40,47.486651223311526,0.99
40,41,47.83840076937371,0.99
41,42,48.18271717464648,0.99
42,43,48.52097378587555,0.99
43,44,48.852739274563056,0.99
44,45,49.17910981552983,0.99
45,46,49.49974882720031,0.99
46,47,49.815532325441836,0.99
47,48,50.126198830206015,0.99
48,49,50.432449462258305,0.99
49,50,50.73408224928495,0.99
50,51,51.031659353351635,0.99
51,52,51.32502593253109,0.99
52,53,51.61463372166079,0.99
53,54,51.90036518528073,0.99
54,55,52.182584283793425,0.99
55,56,52.46120299136141,0.99
56,57,52.73651547973072,0.99
57,58,53.008457045054215,0.99
58,59,53.27726635110263,0.99
59,60,53.54289710586784,0.99
60,61,53.80554380437803,0.99
61,62,54.0651746704388,0.99
62,63,54.32194903436742,0.99
63,64,54.57584654481257,0.99
64,65,54.82699851749988,0.99
65,66,55.07539357402812,0.99
66,67,55.321140693825235,0.99
67,68,55.564235526859385,0.99
68,69,55.804769226061886,0.99
69,70,56.0427429278968,0.99
70,71,56.27823354091739,0.99
71,72,56.51124646587417,0.99
72,73,56.74184721255425,0.99
73,74,56.970044477523295,0.99
74,75,57.195894632678936,0.99
75,76,57.41940890333253,0.99
76,77,57.64063632012292,0.99
77,78,57.8595900298913,0.99
78,79,58.07631315005723,0.99
79,80,58.290820268645845,0.99
80,81,58.50314972524504,0.99
81,82,58.71331716940364,0.99
82,83,58.92135706590095,0.99
83,84,59.127285826048286,0.99
84,85,59.33113475833662,0.99
85,86,59.53292079947612,0.99
86,87,59.73267267368405,0.99
87,88,59.93040765700391,0.99
88,89,60.12615234505402,0.99
89,90,60.319924207045,0.99
90,91,60.51174807327996,0.99
91,92,60.701641491614865,0.99
