,Iteration,Reward,Gamma
0,1,0.3333333333333333,0.9
1,2,0.4333333333333333,0.9
2,3,0.4933333333333333,0.9
3,4,0.5293333333333333,0.9
4,5,0.5563333333333333,0.9
5,6,0.5749633333333333,0.9
6,7,0.5893003333333333,0.9
7,8,0.5997979333333333,0.9
8,9,0.6079554433333333,0.9
9,10,0.6141424663333332,0.9
0,1,0.3333333333333333,0.95
1,2,0.4388888888888889,0.95
2,3,0.5057407407407407,0.95
3,4,0.5480802469135801,0.95
4,5,0.5815990226337449,0.95
5,6,0.6060118642832646,0.95
6,7,0.6258428755072587,0.95
7,8,0.6411698943515659,0.95
8,9,0.6537419525170296,0.95
9,10,0.663806901853518,0.95
10,11,0.6721383246561768,0.95
11,12,0.6789711053206211,0.95
12,13,0.6846867805748467,0.95
13,14,0.6894615475869136,0.95
0,1,0.3333333333333333,0.99
1,2,0.4433333333333333,0.99
2,3,0.5159333333333332,0.99
3,4,0.5638493333333332,0.99
4,5,0.6033800333333332,0.99
5,6,0.6333838346333334,0.99
6,7,0.6587827046903333,0.99
7,8,0.6792395573192933,0.99
8,9,0.6967259044727563,0.99
9,10,0.7113145810697703,0.99
10,11,0.7238990550653598,0.99
11,12,0.7346544153314808,0.99
12,13,0.7440301782582033,0.99
13,14,0.7521922958197383,0.99
14,15,0.7593887230317445,0.99
15,16,0.7657490842944111,0.99
16,17,0.7714210577265269,0.99
17,18,0.7765013577802422,0.99
18,19,0.7810850533170925,0.99
19,20,0.7852433897263188,0.99
20,21,0.7890401027686509,0.99
21,22,0.7925251429595621,0.99
22,23,0.7957415840732716,0.99
23,24,0.7987241317111686,0.99
24,25,0.8015022464199217,0.99
25,26,0.8041000993921856,0.99
26,27,0.8065381156675328,0.99
27,28,0.8088332888846095,0.99
28,29,0.8110000136159641,0.99
29,30,0.8130504201301785,0.99
